brand,model_name,category,wireless,noise_cancelling,price,currency,rating,first_word,OS_type,popularity
Apple,AirPods Max,Headphones,1,0,315,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,31.95,USD,,Apple,IOS,3
Apple,MXP93ZM/A,Headphones,1,1,126.5,USD,,Apple,IOS,3
Apple,iPhone,Headphones,0,0,12.79,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd,Headsets,0,0,136.99,USD,4.8,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headsets,0,0,48.95,USD,4.5,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,390.23,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,32.5,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,139,USD,4.3,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,74.99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,,For,IOS,3
Apple,Apple AirPods Pro 3rd Generation,Headphones,1,1,189.75,USD,4.6,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,69.99,USD,,Original,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,29.5,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,1,43.95,USD,4.8,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,1,0,62.89,USD,,Original,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,69.99,USD,,Original,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,1,0,62.89,USD,,Original,IOS,3
Apple,AirPods Max,Headphones,1,0,249.99,USD,,Apple,IOS,3
Apple,A2031,Headphones,1,0,35.5,USD,,Apple,IOS,3
Apple,Beats by Dr. Dre Solo3,Headphones,0,0,79,USD,,Beats,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,47.95,USD,,New,IOS,3
Apple,A3184,Headphones,1,0,549,USD,1,Apple,IOS,3
Apple,AirPods Max,Headphones,1,0,300,USD,,Apple,IOS,3
Apple,Apple AirPods Pro 2,Headphones,0,0,120,USD,3.7,Apple,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,55.29,USD,4.6,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,0,0,55.29,USD,4.6,Apple,IOS,3
Apple,N\A,Headphones,1,0,120,USD,3.7,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,0,0,50.39,USD,5,Apple,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,50.39,USD,5,Genuine,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,55.29,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,4.6,For,IOS,3
Apple,Apple AirPods Pro,Headphones,1,0,80,USD,,Apple,IOS,3
Apple,Apple EarPods,Headphones,1,0,12.95,USD,,Genuine,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66.99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66.99,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headsets,0,0,48.95,USD,4.5,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,1,70,USD,,Apple,IOS,3
Apple,Apple AirPods Pro USB-C (2nd gen),Headphones,1,1,68,USD,,Original,IOS,3
Apple,Apple AirPods Max,Headphones,1,0,525,USD,,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,89.99,USD,,Apple,IOS,3
Apple,AirPods Pro (2nd generation),Headphones,1,0,100,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,37.5,USD,,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,89.99,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,24.5,USD,,Apple,IOS,3
Apple,AirPods,Headphones,1,0,124.99,USD,,Apple,IOS,3
Apple,AirPods Max A2096,Headphones,1,1,199.99,USD,,Apple,IOS,3
Apple,Airpods Pro 2 Gen,Headphones,1,1,159,USD,,Apple,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,55.29,USD,4.6,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,34.99,USD,,Apple,IOS,3
Apple,AirPods 4th Gen with Charging Case,Headphones,1,0,103.88,USD,4.6,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,1,60,USD,,Apple,IOS,3
Apple,For Apple AirPods Pro 2nd Gen,Headphones,1,0,65,USD,,For,IOS,3
Apple,Apple AirPods Pro,Headphones,1,0,230,USD,1,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,0,70,USD,,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,89.99,USD,5,Apple,IOS,3
Apple,MG7J4LL/A,Headphones,1,0,117,USD,,Beats,IOS,3
Apple,Apple AirPods Pro 2,Headsets,0,0,65,USD,5,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,1,140,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,1,35.99,USD,4.9,Apple,IOS,3
Apple,Apple AirPods Pro 3,Headsets,0,0,89.99,USD,5,Apple,IOS,3
Apple,Apple AirPods (3rd Generation),Headphones,1,0,32.19,USD,,Apple,IOS,3
Apple,N\A,Headphones,1,0,97,USD,3.7,Apple,IOS,3
Apple,AirPods Pro (2nd generation),Headphones,1,0,100,USD,,Apple,IOS,3
Apple,Apple AirPods Pro 2,Headphones,0,0,97,USD,3.7,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,89.99,USD,,Apple,IOS,3
Apple,Airpods Pro 2 Gen,Headphones,1,1,159,USD,,Apple,IOS,3
Apple,Beats by Dr. Dre Powerbeats Pro,Headphones,1,1,74.97,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,1,47.87,USD,,Original,IOS,3
Apple,AirPods Pro,Headphones,1,0,69.99,USD,,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,,For,IOS,3
Apple,AirPods Pro,Headphones,1,0,70,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,34.99,USD,,Apple,IOS,3
Apple,AIRPODS MPNY3AM/A 3RD GEN - A2565,Headphones,1,0,99.99,USD,4.8,New,IOS,3
Apple,AirPods Pro (2nd generation),Headphones,1,0,100,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,89.99,USD,,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,0,50,USD,,Apple,IOS,3
Apple,Apple AirPods A2032,Headphones,1,0,29.95,USD,,Apple,IOS,3
Apple,AIRPODS MPNY3AM/A 3RD GEN - A2565,Headphones,1,0,99.99,USD,4.8,New,IOS,3
Apple,Apple AirPods Max,Headphones,1,0,450,USD,,Apple,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,23.95,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,37.5,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,1,59.95,USD,,Apple,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,23.95,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,27.5,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,49.95,USD,,Original,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,50.39,USD,5,Genuine,IOS,3
Apple,AirPods Max,Headphones,1,1,300,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,34.5,USD,,Apple,IOS,3
Apple,AirPods Max,Headphones,1,1,300,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,69,USD,4.6,For,IOS,3
Apple,Apple AirPods,Headphones,1,1,41.99,USD,,Genuine,IOS,3
Apple,AirPods 1st Generation Model A1523,Headphones,1,0,48,USD,,Apple,IOS,3
Apple,Apple AirPods Pro MWP22AM/A,Headphones,1,0,119.86,USD,3.8,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,0,70,USD,,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,320,USD,,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,0,60,USD,,Apple,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,19.99,USD,,Genuine,IOS,3
Apple,Airpods Pro 2gen Gen,Headphones,1,1,169,USD,,Apple,IOS,3
Apple,Apple AirPods with USB-C,Headsets,0,0,119.99,USD,4.6,Apple,IOS,3
Apple,Apple AirPods Pro 2nd,Headphones,0,0,50.39,USD,5,Apple,IOS,3
Apple,AirPods Pro (2nd generation),Headphones,1,0,70,USD,,Apple,IOS,3
Apple,AirPods Pro (2nd generation),Headphones,1,0,90,USD,,Apple,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,24.5,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headsets,0,0,45.95,USD,4.5,Apple,IOS,3
Apple,AirPods 4,Headphones,1,0,74.99,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headsets,0,0,142.99,USD,,Apple,IOS,3
Apple,AirPods 4,Headphones,1,0,74.99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro 1st,Headsets,0,0,88.99,USD,,Apple,IOS,3
Apple,Earpods With 3.5Mm Headphones Plug,Headphones,1,0,13.55,USD,,Apple,IOS,3
Apple,MLWK3AM/A,Headphones,1,1,57.75,USD,,Genuine,IOS,3
Apple,AirPods 4,Headphones,1,1,130,USD,,Apple,IOS,3
Apple,N\A,Headphones,1,0,120,USD,3.7,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,390.23,USD,,Apple,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,24.5,USD,,Apple,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,16.49,USD,,Apple,IOS,3
Apple,Apple AirPods Pro USB-C (2nd gen),Headphones,1,1,68,USD,,Original,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,35.95,USD,,Apple,IOS,3
Apple,For Beats Fit Pro,Headphones,1,0,19.95,USD,,Original,IOS,3
Apple,Apple AirPods 1st Generation,Headphones,1,0,80,USD,,Bluetooth,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,55.29,USD,4.6,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,119.99,USD,,Apple,IOS,3
Apple,Apple AirPods Max USB-C,Headsets,0,0,439,USD,,Apple,IOS,3
Apple,N\A,Headphones,1,0,142,USD,,Apple,IOS,3
Apple,Apple EarPods,Headphones,1,0,12.95,USD,,Genuine,IOS,3
Apple,AirPods 4,Headphones,1,0,74.99,USD,,Apple,IOS,3
Apple,AirPods Pro 2nd Gen,Headphones,1,0,50.39,USD,5,Genuine,IOS,3
Apple,Apple AirPods Pro,Headphones,1,0,47.94,USD,,Apple,IOS,3
Apple,"MA662LL/A, MA662G/A, MA662G/B",Headphones,1,0,18.99,USD,4.5,Original,IOS,3
Apple,Apple AirPods Pro,Headphones,1,0,47.94,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,45.86,USD,,Original,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,53.99,USD,,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,0,342,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,69,USD,,For,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,44.5,USD,,New,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,24.95,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,139,USD,4,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,,For,IOS,3
Apple,Apple AirPods 4,Headphones,1,1,47.26,USD,,Original,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,99,USD,,Apple,IOS,3
Apple,Apple AirPods Max,Headphones,1,1,374.99,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,4.6,For,IOS,3
Apple,MG7J4LL/A,Headphones,1,0,117,USD,,Beats,IOS,3
Apple,Apple AirPods 3rd Generation,Headphones,1,0,35.95,USD,,Apple,IOS,3
Apple,Beats by Dr. Dre Studio,Headphones,1,0,19.97,USD,,Original,IOS,3
Apple,Apple EarPods,Headphones,1,0,12.25,USD,,Apple,IOS,3
Apple,AirPods Pro,Headphones,1,0,85,USD,,Apple,IOS,3
Apple,Apple AirPods 4,Headphones,1,1,47.26,USD,,Original,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,41.59,USD,,Original,IOS,3
Apple,Apple AirPods 4,Headphones,1,0,41.59,USD,,Original,IOS,3
Apple,AirPods,Headphones,1,1,65,USD,,Apple,IOS,3
Apple,Apple AirPods Pro,Headphones,1,1,300,USD,,Apple,IOS,3
Apple,N\A,Headphones,1,0,459.9,USD,,Apple,IOS,3
Apple,Beats by Dr. Dre Powerbeats Pro,Headphones,1,1,74.97,USD,,Apple,IOS,3
Apple,AirPods Pro 3,Headphones,1,0,109,USD,,Apple,IOS,3
Apple,AirPods Pro (3rd generation),Headphones,1,1,179,USD,4.6,Apple,IOS,3
Apple,A2305 + MQKJ3ZM/A,Headphones,1,0,18.69,USD,,Original,IOS,3
Apple,N\A,Headphones,1,0,459.9,USD,,Apple,IOS,3
